"Name","Live Bytes","Live Objects"
"java.util.Collections$UnmodifiableRandomAccessList","144 B (0%)","6 (0%)"
"jdk.internal.perf.PerfCounter","144 B (0%)","6 (0%)"
"java.rmi.server.Operation","144 B (0%)","9 (0%)"
"java.util.concurrent.ScheduledThreadPoolExecutor$ScheduledFutureTask","144 B (0%)","2 (0%)"
"java.lang.invoke.VarHandle$AccessMode[]","144 B (0%)","1 (0%)"
"java.time.temporal.ChronoField[]","136 B (0%)","1 (0%)"
"java.net.Inet6Address","128 B (0%)","4 (0%)"
"sun.security.provider.SHA2$SHA256","128 B (0%)","2 (0%)"
"java.net.Inet6Address$Inet6AddressHolder","128 B (0%)","4 (0%)"
"java.security.MessageDigest$Delegate","128 B (0%)","4 (0%)"
"java.util.concurrent.locks.ReentrantLock$NonfairSync","128 B (0%)","4 (0%)"
"java.io.ObjectInputStream$ValidationList","128 B (0%)","8 (0%)"
"sun.util.resources.Bundles$CacheKey","128 B (0%)","4 (0%)"
"org.postgresql.util.LruCache$LimitedMap","128 B (0%)","2 (0%)"
"java.util.ImmutableCollections$MapN","128 B (0%)","4 (0%)"
"sun.util.locale.provider.LocaleResources","128 B (0%)","4 (0%)"
"com.sun.jmx.mbeanserver.DefaultMXBeanMappingFactory$ArrayMapping","128 B (0%)","4 (0%)"
"java.io.BufferedInputStream","120 B (0%)","3 (0%)"
"java.time.LocalDateTime","120 B (0%)","5 (0%)"
"java.lang.ThreadLocal$ThreadLocalMap","120 B (0%)","5 (0%)"
"org.postgresql.jdbc.PgConnection","120 B (0%)","1 (0%)"
"java.util.concurrent.ConcurrentSkipListMap$Node","120 B (0%)","5 (0%)"
"sun.nio.fs.WindowsPathType","120 B (0%)","5 (0%)"
"jdk.internal.math.FloatingDecimal$PreparedASCIIToBinaryBuffer","120 B (0%)","5 (0%)"
"sun.rmi.transport.WeakRef","120 B (0%)","3 (0%)"
"java.lang.NamedPackage","120 B (0%)","5 (0%)"
"java.util.concurrent.ConcurrentSkipListMap$Index","120 B (0%)","5 (0%)"
"java.util.stream.StreamOpFlag$Type","120 B (0%)","5 (0%)"
"java.lang.module.ModuleDescriptor$Opens","120 B (0%)","5 (0%)"
"java.util.regex.Pattern$Start","120 B (0%)","5 (0%)"
"java.io.ObjectStreamClass$ExceptionInfo","120 B (0%)","5 (0%)"
"java.lang.invoke.LambdaForm$BasicType[]","120 B (0%)","3 (0%)"
"java.net.SocketPermission","112 B (0%)","2 (0%)"
"java.nio.DirectIntBufferRU","112 B (0%)","2 (0%)"
"java.util.GregorianCalendar","112 B (0%)","1 (0%)"
"jdk.internal.loader.ClassLoaders$AppClassLoader","112 B (0%)","1 (0%)"
"sun.security.provider.SHA","112 B (0%)","2 (0%)"
"jdk.internal.loader.ClassLoaders$BootClassLoader","112 B (0%)","1 (0%)"
"jdk.internal.loader.ClassLoaders$PlatformClassLoader","112 B (0%)","1 (0%)"
"java.util.regex.Pattern$BranchConn","112 B (0%)","7 (0%)"
"java.time.LocalTime[]","112 B (0%)","1 (0%)"
"sun.rmi.transport.tcp.TCPConnection","112 B (0%)","2 (0%)"
"sun.rmi.server.MarshalOutputStream$1","112 B (0%)","7 (0%)"
"sun.util.logging.PlatformLogger$Level[]","104 B (0%)","2 (0%)"
"java.lang.Runtime$Version","96 B (0%)","3 (0%)"
"java.sql.SQLPermission","96 B (0%)","4 (0%)"
"sun.util.calendar.Gregorian$Date","96 B (0%)","1 (0%)"
"java.time.LocalDate","96 B (0%)","4 (0%)"
"sun.security.jca.ProviderList$1","96 B (0%)","1 (0%)"
"java.lang.System$Logger$Level[]","96 B (0%)","2 (0%)"
"java.util.stream.StreamShape","96 B (0%)","4 (0%)"
"java.util.Collections$UnmodifiableCollection$1","96 B (0%)","4 (0%)"
"java.util.regex.Pattern$BitClass","96 B (0%)","4 (0%)"
"org.postgresql.jdbc.PreferQueryMode","96 B (0%)","4 (0%)"
"jdk.internal.loader.ClassLoaderValue","96 B (0%)","6 (0%)"
"java.lang.invoke.SimpleMethodHandle","96 B (0%)","3 (0%)"
"sun.reflect.generics.reflectiveObjects.TypeVariableImpl","96 B (0%)","3 (0%)"
"java.security.SecureClassLoader$CodeSourceKey","96 B (0%)","6 (0%)"
"java.io.OutputStreamWriter","96 B (0%)","4 (0%)"
"org.postgresql.core.JavaVersion","96 B (0%)","4 (0%)"
"java.util.regex.Pattern$Qtype","96 B (0%)","4 (0%)"
"sun.nio.cs.StreamDecoder","96 B (0%)","2 (0%)"
"java.time.OffsetDateTime","96 B (0%)","4 (0%)"
"java.lang.module.ModuleDescriptor$Modifier","96 B (0%)","4 (0%)"
"javax.management.openmbean.TabularType","96 B (0%)","2 (0%)"
"jdk.internal.logger.BootstrapLogger$LoggingBackend","96 B (0%)","4 (0%)"
"java.util.regex.Pattern$BmpCharPredicate$$Lambda$56.0x0000000801219040","96 B (0%)","4 (0%)"
"sun.nio.fs.NativeBuffer","96 B (0%)","3 (0%)"
"sun.reflect.generics.repository.ClassRepository","96 B (0%)","3 (0%)"
"org.postgresql.util.LruCache","96 B (0%)","2 (0%)"
"jdk.internal.loader.AbstractClassLoaderValue$Sub","96 B (0%)","4 (0%)"
"com.sun.jmx.remote.util.ClassLoaderWithRepository","96 B (0%)","1 (0%)"
"java.util.regex.Pattern$CharPropertyGreedy","96 B (0%)","4 (0%)"
"sun.security.provider.Sun","96 B (0%)","1 (0%)"
"com.sun.jmx.mbeanserver.DefaultMXBeanMappingFactory$EnumMapping","96 B (0%)","3 (0%)"
"java.lang.module.ModuleDescriptor$Requires$Modifier","96 B (0%)","4 (0%)"
"java.io.ObjectStreamClass$MemberSignature[]","96 B (0%)","6 (0%)"
"sun.rmi.transport.tcp.TCPChannel","96 B (0%)","2 (0%)"
"javax.management.MBeanConstructorInfo","96 B (0%)","3 (0%)"
"com.sun.management.internal.GarbageCollectorExtImpl","96 B (0%)","2 (0%)"
"java.util.regex.Pattern$BmpCharPropertyGreedy","96 B (0%)","4 (0%)"
"jdk.internal.jimage.ImageReader$SharedImageReader","96 B (0%)","1 (0%)"
"java.lang.management.LockInfo","96 B (0%)","4 (0%)"
"org.postgresql.core.Parser$SqlParseState[]","96 B (0%)","2 (0%)"
"java.util.concurrent.ConcurrentSkipListMap","96 B (0%)","2 (0%)"
"org.postgresql.hostchooser.HostStatus","96 B (0%)","4 (0%)"
"sun.net.spi.DefaultProxySelector$NonProxyInfo","96 B (0%)","3 (0%)"
"sun.rmi.transport.LiveRef","96 B (0%)","3 (0%)"
"sun.security.jca.ProviderConfig[]","88 B (0%)","2 (0%)"
"java.rmi.server.Operation[]","88 B (0%)","3 (0%)"
"com.sun.jmx.remote.util.OrderClassLoaders","88 B (0%)","1 (0%)"
"java.util.jar.JarVerifier","88 B (0%)","1 (0%)"
"sun.reflect.misc.MethodUtil","88 B (0%)","1 (0%)"
"sun.rmi.server.UnicastServerRef2","80 B (0%)","2 (0%)"
"org.postgresql.jdbc.TypeInfoCache","80 B (0%)","1 (0%)"
"sun.nio.cs.UTF_8$Decoder","80 B (0%)","2 (0%)"
"java.net.InetAddress$CachedAddresses","80 B (0%)","2 (0%)"
"sun.management.MemoryManagerImpl","80 B (0%)","2 (0%)"
"java.lang.ModuleLayer","80 B (0%)","2 (0%)"
"org.postgresql.hostchooser.HostRequirement[]","80 B (0%)","2 (0%)"
"java.util.Locale$Category","80 B (0%)","2 (0%)"
"java.io.PrintStream","80 B (0%)","2 (0%)"
"org.postgresql.core.PGStream","80 B (0%)","1 (0%)"
"jdk.internal.math.FloatingDecimal$BinaryToASCIIBuffer","80 B (0%)","2 (0%)"
"java.util.concurrent.ConcurrentHashMap$ValuesView","80 B (0%)","5 (0%)"
"java.time.temporal.ChronoUnit[]","80 B (0%)","1 (0%)"
"java.lang.NoSuchMethodError","80 B (0%)","2 (0%)"
"java.lang.module.Configuration","80 B (0%)","2 (0%)"
"java.util.concurrent.ScheduledThreadPoolExecutor","80 B (0%)","1 (0%)"
"sun.util.locale.provider.JRELocaleProviderAdapter","80 B (0%)","1 (0%)"
"java.io.BufferedWriter","80 B (0%)","2 (0%)"
"sun.util.locale.provider.LocaleProviderAdapter$NonExistentAdapter","80 B (0%)","1 (0%)"
"java.util.concurrent.RunnableScheduledFuture[]","80 B (0%)","1 (0%)"
"java.util.regex.Pattern$$Lambda$54.0x0000000801219840","80 B (0%)","5 (0%)"
"jdk.internal.reflect.UnsafeQualifiedStaticObjectFieldAccessorImpl","80 B (0%)","2 (0%)"
"org.postgresql.jdbc.SslMode[]","80 B (0%)","2 (0%)"
"float[]","80 B (0%)","2 (0%)"
"java.util.stream.StreamOpFlag$Type[]","80 B (0%)","2 (0%)"
"sun.rmi.transport.tcp.TCPTransport$ConnectionHandler","80 B (0%)","2 (0%)"
"jdk.internal.reflect.ConstantPool","80 B (0%)","5 (0%)"
"sun.util.cldr.CLDRLocaleProviderAdapter","80 B (0%)","1 (0%)"
"java.lang.VirtualMachineError","80 B (0%)","2 (0%)"
"com.sun.jmx.mbeanserver.DefaultMXBeanMappingFactory$TabularMapping","80 B (0%)","2 (0%)"
"java.io.ByteArrayOutputStream","72 B (0%)","3 (0%)"
"java.security.DrbgParameters$Capability","72 B (0%)","3 (0%)"
"org.postgresql.core.TransactionState","72 B (0%)","3 (0%)"
"java.time.ZoneOffset","72 B (0%)","3 (0%)"
"java.security.SecurityPermission","72 B (0%)","3 (0%)"
"sun.nio.fs.NativeBuffer$Deallocator","72 B (0%)","3 (0%)"
"sun.reflect.generics.tree.ClassSignature","72 B (0%)","3 (0%)"
"org.postgresql.jdbc.AutoSave","72 B (0%)","3 (0%)"
"jdk.internal.module.IllegalAccessLogger$Mode","72 B (0%)","3 (0%)"
"java.lang.annotation.RetentionPolicy","72 B (0%)","3 (0%)"
"java.security.SecureRandom","72 B (0%)","1 (0%)"
"java.util.concurrent.ThreadPoolExecutor","72 B (0%)","1 (0%)"
"org.postgresql.core.ServerVersion[]","72 B (0%)","1 (0%)"
"java.util.stream.Collector$Characteristics","72 B (0%)","3 (0%)"
"java.util.concurrent.locks.AbstractQueuedSynchronizer$ConditionObject","72 B (0%)","3 (0%)"
"java.util.regex.Pattern$$Lambda$19.0x0000000801206440","72 B (0%)","3 (0%)"
"java.rmi.MarshalledObject$MarshalledObjectInputStream","72 B (0%)","1 (0%)"
"java.lang.invoke.StringConcatFactory$Mode","72 B (0%)","3 (0%)"
"sun.reflect.generics.tree.FormalTypeParameter","72 B (0%)","3 (0%)"
"org.postgresql.jdbc.EscapeSyntaxCallMode","72 B (0%)","3 (0%)"
"org.postgresql.jdbc.PgConnection$ReadOnlyBehavior","72 B (0%)","3 (0%)"
"javax.management.openmbean.SimpleType[]","72 B (0%)","1 (0%)"
"java.net.Proxy$Type","72 B (0%)","3 (0%)"
"javax.management.Attribute","72 B (0%)","3 (0%)"
"jdk.internal.math.FloatingDecimal$ExceptionalBinaryToASCIIBuffer","72 B (0%)","3 (0%)"
"java.io.ObjectInputFilter$Status","72 B (0%)","3 (0%)"
"java.util.regex.Matcher","72 B (0%)","1 (0%)"
"java.lang.invoke.BoundMethodHandle$Species_LLLLLLLLJL","72 B (0%)","1 (0%)"
"java.lang.WeakPairMap","72 B (0%)","3 (0%)"
"java.net.InetAddress[]","72 B (0%)","2 (0%)"
"java.io.FilePermissionCollection","72 B (0%)","3 (0%)"
"java.util.stream.FindOps$FindOp","64 B (0%)","2 (0%)"
"java.lang.ref.ReferenceQueue$Null","64 B (0%)","2 (0%)"
"java.util.stream.Collector$Characteristics[]","64 B (0%)","2 (0%)"
"java.lang.management.ThreadInfo[]","64 B (0%)","1 (0%)"
"javax.management.remote.rmi.RMIJRMPServerImpl","64 B (0%)","1 (0%)"
"java.util.logging.LogManager$RootLogger","64 B (0%)","1 (0%)"
"java.util.PropertyPermission","64 B (0%)","2 (0%)"
"org.postgresql.jdbc.AutoSave[]","64 B (0%)","2 (0%)"
"sun.nio.fs.NativeBuffer[]","64 B (0%)","2 (0%)"
"sun.rmi.transport.tcp.TCPTransport","64 B (0%)","2 (0%)"
"java.lang.invoke.BoundMethodHandle$Species_LLLLLLJ","64 B (0%)","1 (0%)"
"java.nio.charset.CoderResult[]","64 B (0%)","2 (0%)"
"java.util.concurrent.ConcurrentHashMap$EntrySetView","64 B (0%)","4 (0%)"
"java.lang.annotation.RetentionPolicy[]","64 B (0%)","2 (0%)"
"org.postgresql.core.CachedQuery","64 B (0%)","2 (0%)"
"java.io.FileOutputStream","64 B (0%)","2 (0%)"
"java.util.concurrent.atomic.LongAdder","64 B (0%)","2 (0%)"
"java.util.concurrent.locks.ReentrantLock","64 B (0%)","4 (0%)"
"org.postgresql.jdbc.PgConnection$ReadOnlyBehavior[]","64 B (0%)","2 (0%)"
"javax.management.remote.rmi.RMIConnectionImpl","64 B (0%)","1 (0%)"
"java.lang.invoke.MethodHandleImpl$Intrinsic[]","64 B (0%)","1 (0%)"
"javax.management.remote.rmi.RMIConnectorServer","64 B (0%)","1 (0%)"
"sun.reflect.annotation.AnnotationType","64 B (0%)","2 (0%)"
"java.util.regex.Pattern$$Lambda$17.0x0000000801205c40","64 B (0%)","4 (0%)"
"java.util.LinkedList","64 B (0%)","2 (0%)"
"java.util.concurrent.locks.AbstractQueuedSynchronizer$Node","64 B (0%)","2 (0%)"
"java.util.regex.Pattern$BitClass$$Lambda$16.0x0000000801205840","64 B (0%)","4 (0%)"
"java.util.LinkedHashMap","56 B (0%)","1 (0%)"
"int[][]","56 B (0%)","1 (0%)"
"java.lang.invoke.LambdaFormEditor$Transform","56 B (0%)","1 (0%)"
"jdk.internal.ref.CleanerImpl$SoftCleanableRef","56 B (0%)","1 (0%)"
"java.nio.file.StandardOpenOption[]","56 B (0%)","1 (0%)"
"java.util.logging.LogManager","56 B (0%)","1 (0%)"
"java.io.ObjectInputFilter$Config$Global","56 B (0%)","1 (0%)"
"java.lang.Runnable[]","56 B (0%)","1 (0%)"
"java.lang.invoke.BoundMethodHandle$Specializer","56 B (0%)","1 (0%)"
"sun.reflect.generics.tree.ClassTypeSignature[]","56 B (0%)","3 (0%)"
"jdk.internal.org.objectweb.asm.Label","56 B (0%)","1 (0%)"
"java.lang.invoke.BoundMethodHandle$Specializer$Factory","48 B (0%)","1 (0%)"
"com.sun.jmx.mbeanserver.MBeanIntrospector$MBeanInfoMap","48 B (0%)","1 (0%)"
"jdk.internal.misc.Signal","48 B (0%)","2 (0%)"
"sun.reflect.generics.scope.ClassScope","48 B (0%)","2 (0%)"
"sun.security.jca.ProviderList$3","48 B (0%)","2 (0%)"
"jdk.management.jfr.FlightRecorderMXBeanImpl","48 B (0%)","1 (0%)"
"java.lang.annotation.Annotation[]","48 B (0%)","3 (0%)"
"java.io.BufferedReader","48 B (0%)","1 (0%)"
"java.lang.management.MemoryPoolMXBean[]","48 B (0%)","1 (0%)"
"sun.management.ManagementFactoryHelper$1","48 B (0%)","2 (0%)"
"com.sun.jmx.mbeanserver.MBeanIntrospector$PerInterfaceMap","48 B (0%)","1 (0%)"
"java.util.ResourceBundle$NoFallbackControl","48 B (0%)","3 (0%)"
"java.util.concurrent.TimeUnit[]","48 B (0%)","1 (0%)"
"java.io.File$PathStatus","48 B (0%)","2 (0%)"
"java.util.concurrent.locks.ReentrantReadWriteLock$FairSync","48 B (0%)","1 (0%)"
"java.io.InputStreamReader","48 B (0%)","2 (0%)"
"javax.management.NotificationBroadcasterSupport","48 B (0%)","2 (0%)"
"jdk.internal.ref.CleanerImpl$WeakCleanableRef","48 B (0%)","1 (0%)"
"javax.management.remote.rmi.RMIConnectionImpl$RMIServerCommunicatorAdmin","48 B (0%)","1 (0%)"
"sun.rmi.runtime.Log$InternalStreamHandler","48 B (0%)","1 (0%)"
"sun.util.locale.provider.LocaleServiceProviderPool","48 B (0%)","2 (0%)"
"jdk.internal.module.ServicesCatalog","48 B (0%)","3 (0%)"
"java.math.RoundingMode[]","48 B (0%)","1 (0%)"
"java.util.concurrent.ConcurrentHashMap$KeySetView","48 B (0%)","2 (0%)"
"sun.security.provider.MoreDrbgParameters","48 B (0%)","1 (0%)"
"sun.security.jca.ProviderList","48 B (0%)","2 (0%)"
"java.nio.charset.CodingErrorAction","48 B (0%)","3 (0%)"
"java.rmi.dgc.VMID","48 B (0%)","2 (0%)"
"java.lang.invoke.MethodHandles$Lookup","48 B (0%)","2 (0%)"
"jdk.internal.misc.Signal$NativeHandler","48 B (0%)","2 (0%)"
"java.time.chrono.IsoEra","48 B (0%)","2 (0%)"
"java.util.logging.Logger$LoggerBundle","48 B (0%)","2 (0%)"
"java.util.logging.LoggingPermission","48 B (0%)","2 (0%)"
"com.sun.jmx.mbeanserver.WeakIdentityHashMap","48 B (0%)","2 (0%)"
"java.util.LinkedList$Node","48 B (0%)","2 (0%)"
"com.sun.jmx.mbeanserver.DefaultMXBeanMappingFactory$Mappings","48 B (0%)","1 (0%)"
"sun.security.jca.GetInstance$Instance","48 B (0%)","2 (0%)"
"org.postgresql.core.SqlCommandType[]","48 B (0%)","1 (0%)"
"com.sun.jmx.mbeanserver.ClassLoaderRepositorySupport$LoaderEntry","48 B (0%)","2 (0%)"
"java.lang.reflect.ReflectPermission","48 B (0%)","2 (0%)"
"jdk.internal.jimage.ImageHeader","48 B (0%)","1 (0%)"
"java.lang.reflect.TypeVariable[]","48 B (0%)","2 (0%)"
"org.postgresql.jdbc.TimestampUtils","48 B (0%)","1 (0%)"
"sun.management.counter.Units[]","48 B (0%)","1 (0%)"
"jdk.internal.ref.CleanerImpl$CleanerCleanable","40 B (0%)","1 (0%)"
"java.lang.invoke.MethodHandleImpl$IntrinsicMethodHandle","40 B (0%)","1 (0%)"
"java.net.URL[]","40 B (0%)","2 (0%)"
"sun.nio.cs.StandardCharsets$Aliases","40 B (0%)","1 (0%)"
"java.util.stream.StreamOpFlag[]","40 B (0%)","1 (0%)"
"sun.nio.cs.StandardCharsets$Classes","40 B (0%)","1 (0%)"
"sun.nio.cs.StandardCharsets$Cache","40 B (0%)","1 (0%)"
"org.postgresql.core.v3.SimpleParameterList","40 B (0%)","1 (0%)"
"com.sun.jmx.interceptor.DefaultMBeanServerInterceptor","40 B (0%)","1 (0%)"
"com.sun.jmx.mbeanserver.MBeanServerDelegateImpl","40 B (0%)","1 (0%)"
"java.lang.invoke.StringConcatFactory$Strategy[]","40 B (0%)","1 (0%)"
"com.sun.management.internal.DiagnosticCommandImpl","40 B (0%)","1 (0%)"
"sun.util.locale.provider.LocaleProviderAdapter$Type[]","40 B (0%)","1 (0%)"
"com.sun.jmx.mbeanserver.JmxMBeanServer","40 B (0%)","1 (0%)"
"sun.nio.cs.US_ASCII$Decoder","40 B (0%)","1 (0%)"
"java.lang.invoke.LambdaForm$Name[][]","40 B (0%)","1 (0%)"
"java.lang.Thread$State[]","40 B (0%)","1 (0%)"
"java.lang.Exception","40 B (0%)","1 (0%)"
"java.lang.NullPointerException","40 B (0%)","1 (0%)"
"sun.rmi.server.UnicastServerRef","40 B (0%)","1 (0%)"
"sun.util.resources.Bundles$1","40 B (0%)","1 (0%)"
"java.lang.ArithmeticException","40 B (0%)","1 (0%)"
"sun.nio.fs.WindowsPathType[]","40 B (0%)","1 (0%)"
"javax.management.MBeanPermission","40 B (0%)","1 (0%)"
"jdk.internal.loader.URLClassPath","40 B (0%)","1 (0%)"
"com.sun.jmx.mbeanserver.ClassLoaderRepositorySupport$LoaderEntry[]","40 B (0%)","2 (0%)"
"java.lang.ref.Finalizer","40 B (0%)","1 (0%)"
"java.lang.invoke.VarHandle$AccessType[]","40 B (0%)","1 (0%)"
"java.util.ResourceBundle$2","40 B (0%)","1 (0%)"
"sun.util.locale.InternalLocaleBuilder","40 B (0%)","1 (0%)"
"java.lang.OutOfMemoryError[]","32 B (0%)","1 (0%)"
"org.postgresql.core.JavaVersion[]","32 B (0%)","1 (0%)"
"java.io.ObjectInputFilter$Status[]","32 B (0%)","1 (0%)"
"java.security.DrbgParameters$Capability[]","32 B (0%)","1 (0%)"
"java.util.TreeSet","32 B (0%)","2 (0%)"
"org.postgresql.core.TransactionState[]","32 B (0%)","1 (0%)"
"java.util.concurrent.ThreadLocalRandom","32 B (0%)","1 (0%)"
"java.lang.module.ModuleDescriptor$Requires$Modifier[]","32 B (0%)","1 (0%)"
"sun.rmi.transport.DGCImpl$LeaseInfo","32 B (0%)","1 (0%)"
"org.postgresql.hostchooser.GlobalHostStatusTracker$HostSpecStatus","32 B (0%)","1 (0%)"
"org.postgresql.core.CommandCompleteParser","32 B (0%)","1 (0%)"
"java.lang.module.ModuleDescriptor$Version","32 B (0%)","1 (0%)"
"sun.rmi.transport.tcp.TCPTransport$ConnectionHandler$$Lambda$109.0x0000000801271040","32 B (0%)","2 (0%)"
"java.lang.invoke.VarHandleLongs$FieldInstanceReadWrite","32 B (0%)","1 (0%)"
"java.util.concurrent.SynchronousQueue","32 B (0%)","1 (0%)"
"sun.instrument.InstrumentationImpl","32 B (0%)","1 (0%)"
"sun.nio.cs.StandardCharsets","32 B (0%)","1 (0%)"
"sun.util.resources.LocaleData","32 B (0%)","2 (0%)"
"sun.rmi.server.UnicastRef2","32 B (0%)","2 (0%)"
"org.postgresql.core.VisibleBufferedInputStream","32 B (0%)","1 (0%)"
"java.lang.invoke.StringConcatFactory$Mode[]","32 B (0%)","1 (0%)"
"jdk.internal.logger.BootstrapLogger$LoggingBackend[]","32 B (0%)","1 (0%)"
"java.lang.ThreadGroup[]","32 B (0%)","1 (0%)"
"java.io.ObjectStreamClass$1","32 B (0%)","2 (0%)"
"java.io.ObjectStreamClass$4","32 B (0%)","2 (0%)"
"java.io.ObjectStreamClass$3","32 B (0%)","2 (0%)"
"java.io.ObjectStreamClass$5","32 B (0%)","2 (0%)"
"org.postgresql.jdbc.PreferQueryMode[]","32 B (0%)","1 (0%)"
"org.postgresql.core.v3.Portal","32 B (0%)","1 (0%)"
"javax.management.AttributeList","32 B (0%)","1 (0%)"
"javax.management.remote.JMXServiceURL","32 B (0%)","1 (0%)"
"java.util.stream.StreamShape[]","32 B (0%)","1 (0%)"
"java.nio.ByteOrder","32 B (0%)","2 (0%)"
"ru.job4j.tracker.MenuTracker","32 B (0%)","1 (0%)"
"com.sun.jmx.mbeanserver.Repository","32 B (0%)","1 (0%)"
"java.net.InetAddress$CachedLocalHost","32 B (0%)","1 (0%)"
"sun.rmi.server.WeakClassHashMap$ValueCell","32 B (0%)","2 (0%)"
"java.io.ByteArrayInputStream","32 B (0%)","1 (0%)"
"jdk.internal.ref.CleanerImpl","32 B (0%)","1 (0%)"
"java.io.WinNTFileSystem","32 B (0%)","1 (0%)"
"jdk.internal.module.IllegalAccessLogger","32 B (0%)","1 (0%)"
"java.util.IdentityHashMap$KeySet","32 B (0%)","2 (0%)"
"java.lang.Boolean","32 B (0%)","2 (0%)"
"java.rmi.MarshalledObject","32 B (0%)","1 (0%)"
"jdk.internal.module.IllegalAccessLogger$Mode[]","32 B (0%)","1 (0%)"
"org.postgresql.hostchooser.HostStatus[]","32 B (0%)","1 (0%)"
"org.postgresql.core.PGStream$1","32 B (0%)","1 (0%)"
"sun.rmi.transport.tcp.TCPTransport$AcceptLoop","32 B (0%)","1 (0%)"
"java.util.concurrent.ScheduledThreadPoolExecutor$DelayedWorkQueue","32 B (0%)","1 (0%)"
"java.net.Proxy$Type[]","32 B (0%)","1 (0%)"
"java.util.logging.LogManager$SystemLoggerContext","32 B (0%)","1 (0%)"
"sun.management.jmxremote.LocalRMIServerSocketFactory$1","32 B (0%)","1 (0%)"
"java.lang.management.MemoryManagerMXBean[]","32 B (0%)","1 (0%)"
"java.util.regex.Pattern$Qtype[]","32 B (0%)","1 (0%)"
"java.lang.module.ModuleDescriptor$Modifier[]","32 B (0%)","1 (0%)"
"org.postgresql.jdbc.EscapeSyntaxCallMode[]","32 B (0%)","1 (0%)"
"java.util.concurrent.ConcurrentHashMap$ReservationNode","32 B (0%)","1 (0%)"
"javax.management.remote.rmi.RMIConnectionImpl$SetCcl","32 B (0%)","2 (0%)"
"java.io.FileInputStream","32 B (0%)","1 (0%)"
"java.lang.Shutdown$Lock","32 B (0%)","2 (0%)"
"org.postgresql.core.ByteOptimizedUTF8Encoder","32 B (0%)","1 (0%)"
"java.util.ResourceBundle$SingleFormatControl","32 B (0%)","2 (0%)"
"java.util.Optional","32 B (0%)","2 (0%)"
"sun.util.locale.provider.NumberFormatProviderImpl","24 B (0%)","1 (0%)"
"com.sun.jmx.mbeanserver.ClassLoaderRepositorySupport","24 B (0%)","1 (0%)"
"jdk.internal.jimage.ImageReader","24 B (0%)","1 (0%)"
"java.util.Locale$Cache","24 B (0%)","1 (0%)"
"jdk.internal.module.ModuleBootstrap$SafeModuleFinder","24 B (0%)","1 (0%)"
"java.util.ResourceBundle$Control$CandidateListCache","24 B (0%)","1 (0%)"
"jdk.internal.loader.URLClassPath$FileLoader","24 B (0%)","1 (0%)"
"java.lang.management.DefaultPlatformMBeanProvider$1","24 B (0%)","1 (0%)"
"java.lang.management.DefaultPlatformMBeanProvider$2","24 B (0%)","1 (0%)"
"org.postgresql.util.SharedTimer","24 B (0%)","1 (0%)"
"sun.security.provider.DRBG","24 B (0%)","1 (0%)"
"java.security.AllPermissionCollection","24 B (0%)","1 (0%)"
"java.lang.management.DefaultPlatformMBeanProvider$9","24 B (0%)","1 (0%)"
"java.lang.management.DefaultPlatformMBeanProvider$7","24 B (0%)","1 (0%)"
"java.lang.management.DefaultPlatformMBeanProvider$8","24 B (0%)","1 (0%)"
"java.lang.management.DefaultPlatformMBeanProvider$5","24 B (0%)","1 (0%)"
"java.lang.management.DefaultPlatformMBeanProvider$6","24 B (0%)","1 (0%)"
"java.lang.management.DefaultPlatformMBeanProvider$3","24 B (0%)","1 (0%)"
"java.lang.management.DefaultPlatformMBeanProvider$4","24 B (0%)","1 (0%)"
"sun.management.ManagementFactoryHelper$PlatformLoggingImpl","24 B (0%)","1 (0%)"
"ru.job4j.tracker.CreateUselessActions","24 B (0%)","1 (0%)"
"sun.nio.cs.ISO_8859_1","24 B (0%)","1 (0%)"
"org.postgresql.hostchooser.HostRequirement$4","24 B (0%)","1 (0%)"
"org.postgresql.hostchooser.HostRequirement$5","24 B (0%)","1 (0%)"
"java.time.chrono.IsoEra[]","24 B (0%)","1 (0%)"
"ru.job4j.tracker.ExitAction","24 B (0%)","1 (0%)"
"sun.nio.cs.US_ASCII","24 B (0%)","1 (0%)"
"sun.nio.cs.ThreadLocalCoders$1","24 B (0%)","1 (0%)"
"sun.nio.cs.ThreadLocalCoders$2","24 B (0%)","1 (0%)"
"org.postgresql.hostchooser.HostRequirement$2","24 B (0%)","1 (0%)"
"org.postgresql.hostchooser.HostRequirement$3","24 B (0%)","1 (0%)"
"org.postgresql.hostchooser.HostRequirement$1","24 B (0%)","1 (0%)"
"java.sql.DriverInfo","24 B (0%)","1 (0%)"
"java.util.regex.Pattern$Dollar","24 B (0%)","1 (0%)"
"sun.util.locale.provider.DecimalFormatSymbolsProviderImpl","24 B (0%)","1 (0%)"
"com.sun.management.internal.PlatformMBeanProviderImpl$1","24 B (0%)","1 (0%)"
"com.sun.management.internal.PlatformMBeanProviderImpl$5","24 B (0%)","1 (0%)"
"com.sun.management.internal.PlatformMBeanProviderImpl$4","24 B (0%)","1 (0%)"
"com.sun.management.internal.PlatformMBeanProviderImpl$3","24 B (0%)","1 (0%)"
"com.sun.management.internal.PlatformMBeanProviderImpl$2","24 B (0%)","1 (0%)"
"sun.nio.cs.MS1251","24 B (0%)","1 (0%)"
"sun.rmi.transport.DGCImpl","24 B (0%)","1 (0%)"
"java.net.SocketPermissionCollection","24 B (0%)","1 (0%)"
"java.security.Permission[]","24 B (0%)","1 (0%)"
